round,node,idle_ticks,busy_ticks
0,0,815,96
0,1,797,114
0,2,875,36
0,3,836,75
0,4,856,55
0,5,866,45
0,6,863,48
0,7,874,37
0,8,835,76
0,9,844,67
0,10,838,73
0,11,846,65
0,12,800,111
0,13,846,65
0,14,834,77
0,15,483,428
0,16,200,711
0,17,211,700
0,18,239,672
0,19,297,614
0,20,387,524
0,21,276,635
0,22,287,624
0,23,0,911
0,24,477,434
0,25,480,431
0,26,269,642
0,27,302,609
0,28,315,596
0,29,321,590
1,0,815,96
1,1,797,114
1,2,875,36
1,3,836,75
1,4,856,55
1,5,866,45
1,6,863,48
1,7,874,37
1,8,835,76
1,9,844,67
1,10,838,73
1,11,846,65
1,12,800,111
1,13,846,65
1,14,834,77
1,15,483,428
1,16,200,711
1,17,211,700
1,18,239,672
1,19,297,614
1,20,387,524
1,21,276,635
1,22,287,624
1,23,0,911
1,24,477,434
1,25,480,431
1,26,269,642
1,27,302,609
1,28,315,596
1,29,321,590
2,0,815,96
2,1,797,114
2,2,875,36
2,3,836,75
2,4,856,55
2,5,866,45
2,6,863,48
2,7,874,37
2,8,835,76
2,9,844,67
2,10,838,73
2,11,846,65
2,12,800,111
2,13,846,65
2,14,834,77
2,15,483,428
2,16,200,711
2,17,211,700
2,18,239,672
2,19,297,614
2,20,387,524
2,21,276,635
2,22,287,624
2,23,0,911
2,24,477,434
2,25,480,431
2,26,269,642
2,27,302,609
2,28,315,596
2,29,321,590
3,0,815,96
3,1,797,114
3,2,875,36
3,3,836,75
3,4,856,55
3,5,866,45
3,6,863,48
3,7,874,37
3,8,835,76
3,9,844,67
3,10,838,73
3,11,846,65
3,12,800,111
3,13,846,65
3,14,834,77
3,15,483,428
3,16,200,711
3,17,211,700
3,18,239,672
3,19,297,614
3,20,387,524
3,21,276,635
3,22,287,624
3,23,0,911
3,24,477,434
3,25,480,431
3,26,269,642
3,27,302,609
3,28,315,596
3,29,321,590
4,0,815,96
4,1,797,114
4,2,875,36
4,3,836,75
4,4,856,55
4,5,866,45
4,6,863,48
4,7,874,37
4,8,835,76
4,9,844,67
4,10,838,73
4,11,846,65
4,12,800,111
4,13,846,65
4,14,834,77
4,15,483,428
4,16,200,711
4,17,211,700
4,18,239,672
4,19,297,614
4,20,387,524
4,21,276,635
4,22,287,624
4,23,0,911
4,24,477,434
4,25,480,431
4,26,269,642
4,27,302,609
4,28,315,596
4,29,321,590
5,0,815,96
5,1,797,114
5,2,875,36
5,3,836,75
5,4,856,55
5,5,866,45
5,6,863,48
5,7,874,37
5,8,835,76
5,9,844,67
5,10,838,73
5,11,846,65
5,12,800,111
5,13,846,65
5,14,834,77
5,15,483,428
5,16,200,711
5,17,211,700
5,18,239,672
5,19,297,614
5,20,387,524
5,21,276,635
5,22,287,624
5,23,0,911
5,24,477,434
5,25,480,431
5,26,269,642
5,27,302,609
5,28,315,596
5,29,321,590
6,0,815,96
6,1,797,114
6,2,875,36
6,3,836,75
6,4,856,55
6,5,866,45
6,6,863,48
6,7,874,37
6,8,835,76
6,9,844,67
6,10,838,73
6,11,846,65
6,12,800,111
6,13,846,65
6,14,834,77
6,15,483,428
6,16,200,711
6,17,211,700
6,18,239,672
6,19,297,614
6,20,387,524
6,21,276,635
6,22,287,624
6,23,0,911
6,24,477,434
6,25,480,431
6,26,269,642
6,27,302,609
6,28,315,596
6,29,321,590
7,0,815,96
7,1,797,114
7,2,875,36
7,3,836,75
7,4,856,55
7,5,866,45
7,6,863,48
7,7,874,37
7,8,835,76
7,9,844,67
7,10,838,73
7,11,846,65
7,12,800,111
7,13,846,65
7,14,834,77
7,15,483,428
7,16,200,711
7,17,211,700
7,18,239,672
7,19,297,614
7,20,387,524
7,21,276,635
7,22,287,624
7,23,0,911
7,24,477,434
7,25,480,431
7,26,269,642
7,27,302,609
7,28,315,596
7,29,321,590
8,0,815,96
8,1,797,114
8,2,875,36
8,3,836,75
8,4,856,55
8,5,866,45
8,6,863,48
8,7,874,37
8,8,835,76
8,9,844,67
8,10,838,73
8,11,846,65
8,12,800,111
8,13,846,65
8,14,834,77
8,15,483,428
8,16,200,711
8,17,211,700
8,18,239,672
8,19,297,614
8,20,387,524
8,21,276,635
8,22,287,624
8,23,0,911
8,24,477,434
8,25,480,431
8,26,269,642
8,27,302,609
8,28,315,596
8,29,321,590
9,0,815,96
9,1,797,114
9,2,875,36
9,3,836,75
9,4,856,55
9,5,866,45
9,6,863,48
9,7,874,37
9,8,835,76
9,9,844,67
9,10,838,73
9,11,846,65
9,12,800,111
9,13,846,65
9,14,834,77
9,15,483,428
9,16,200,711
9,17,211,700
9,18,239,672
9,19,297,614
9,20,387,524
9,21,276,635
9,22,287,624
9,23,0,911
9,24,477,434
9,25,480,431
9,26,269,642
9,27,302,609
9,28,315,596
9,29,321,590
10,0,815,96
10,1,797,114
10,2,875,36
10,3,836,75
10,4,856,55
10,5,866,45
10,6,863,48
10,7,874,37
10,8,835,76
10,9,844,67
10,10,838,73
10,11,846,65
10,12,800,111
10,13,846,65
10,14,834,77
10,15,483,428
10,16,200,711
10,17,211,700
10,18,239,672
10,19,297,614
10,20,387,524
10,21,276,635
10,22,287,624
10,23,0,911
10,24,477,434
10,25,480,431
10,26,269,642
10,27,302,609
10,28,315,596
10,29,321,590
11,0,815,96
11,1,797,114
11,2,875,36
11,3,836,75
11,4,856,55
11,5,866,45
11,6,863,48
11,7,874,37
11,8,835,76
11,9,844,67
11,10,838,73
11,11,846,65
11,12,800,111
11,13,846,65
11,14,834,77
11,15,483,428
11,16,200,711
11,17,211,700
11,18,239,672
11,19,297,614
11,20,387,524
11,21,276,635
11,22,287,624
11,23,0,911
11,24,477,434
11,25,480,431
11,26,269,642
11,27,302,609
11,28,315,596
11,29,321,590
12,0,815,96
12,1,797,114
12,2,875,36
12,3,836,75
12,4,856,55
12,5,866,45
12,6,863,48
12,7,874,37
12,8,835,76
12,9,844,67
12,10,838,73
12,11,846,65
12,12,800,111
12,13,846,65
12,14,834,77
12,15,483,428
12,16,200,711
12,17,211,700
12,18,239,672
12,19,297,614
12,20,387,524
12,21,276,635
12,22,287,624
12,23,0,911
12,24,477,434
12,25,480,431
12,26,269,642
12,27,302,609
12,28,315,596
12,29,321,590
13,0,815,96
13,1,797,114
13,2,875,36
13,3,836,75
13,4,856,55
13,5,866,45
13,6,863,48
13,7,874,37
13,8,835,76
13,9,844,67
13,10,838,73
13,11,846,65
13,12,800,111
13,13,846,65
13,14,834,77
13,15,483,428
13,16,200,711
13,17,211,700
13,18,239,672
13,19,297,614
13,20,387,524
13,21,276,635
13,22,287,624
13,23,0,911
13,24,477,434
13,25,480,431
13,26,269,642
13,27,302,609
13,28,315,596
13,29,321,590
14,0,815,96
14,1,797,114
14,2,875,36
14,3,836,75
14,4,856,55
14,5,866,45
14,6,863,48
14,7,874,37
14,8,835,76
14,9,844,67
14,10,838,73
14,11,846,65
14,12,800,111
14,13,846,65
14,14,834,77
14,15,483,428
14,16,200,711
14,17,211,700
14,18,239,672
14,19,297,614
14,20,387,524
14,21,276,635
14,22,287,624
14,23,0,911
14,24,477,434
14,25,480,431
14,26,269,642
14,27,302,609
14,28,315,596
14,29,321,590
15,0,815,96
15,1,797,114
15,2,875,36
15,3,836,75
15,4,856,55
15,5,866,45
15,6,863,48
15,7,874,37
15,8,835,76
15,9,844,67
15,10,838,73
15,11,846,65
15,12,800,111
15,13,846,65
15,14,834,77
15,15,483,428
15,16,200,711
15,17,211,700
15,18,239,672
15,19,297,614
15,20,387,524
15,21,276,635
15,22,287,624
15,23,0,911
15,24,477,434
15,25,480,431
15,26,269,642
15,27,302,609
15,28,315,596
15,29,321,590
16,0,815,96
16,1,797,114
16,2,875,36
16,3,836,75
16,4,856,55
16,5,866,45
16,6,863,48
16,7,874,37
16,8,835,76
16,9,844,67
16,10,838,73
16,11,846,65
16,12,800,111
16,13,846,65
16,14,834,77
16,15,483,428
16,16,200,711
16,17,211,700
16,18,239,672
16,19,297,614
16,20,387,524
16,21,276,635
16,22,287,624
16,23,0,911
16,24,477,434
16,25,480,431
16,26,269,642
16,27,302,609
16,28,315,596
16,29,321,590
17,0,815,96
17,1,797,114
17,2,875,36
17,3,836,75
17,4,856,55
17,5,866,45
17,6,863,48
17,7,874,37
17,8,835,76
17,9,844,67
17,10,838,73
17,11,846,65
17,12,800,111
17,13,846,65
17,14,834,77
17,15,483,428
17,16,200,711
17,17,211,700
17,18,239,672
17,19,297,614
17,20,387,524
17,21,276,635
17,22,287,624
17,23,0,911
17,24,477,434
17,25,480,431
17,26,269,642
17,27,302,609
17,28,315,596
17,29,321,590
18,0,815,96
18,1,797,114
18,2,875,36
18,3,836,75
18,4,856,55
18,5,866,45
18,6,863,48
18,7,874,37
18,8,835,76
18,9,844,67
18,10,838,73
18,11,846,65
18,12,800,111
18,13,846,65
18,14,834,77
18,15,483,428
18,16,200,711
18,17,211,700
18,18,239,672
18,19,297,614
18,20,387,524
18,21,276,635
18,22,287,624
18,23,0,911
18,24,477,434
18,25,480,431
18,26,269,642
18,27,302,609
18,28,315,596
18,29,321,590
19,0,815,96
19,1,797,114
19,2,875,36
19,3,836,75
19,4,856,55
19,5,866,45
19,6,863,48
19,7,874,37
19,8,835,76
19,9,844,67
19,10,838,73
19,11,846,65
19,12,800,111
19,13,846,65
19,14,834,77
19,15,483,428
19,16,200,711
19,17,211,700
19,18,239,672
19,19,297,614
19,20,387,524
19,21,276,635
19,22,287,624
19,23,0,911
19,24,477,434
19,25,480,431
19,26,269,642
19,27,302,609
19,28,315,596
19,29,321,590
20,0,815,96
20,1,797,114
20,2,875,36
20,3,836,75
20,4,856,55
20,5,866,45
20,6,863,48
20,7,874,37
20,8,835,76
20,9,844,67
20,10,838,73
20,11,846,65
20,12,800,111
20,13,846,65
20,14,834,77
20,15,483,428
20,16,200,711
20,17,211,700
20,18,239,672
20,19,297,614
20,20,387,524
20,21,276,635
20,22,287,624
20,23,0,911
20,24,477,434
20,25,480,431
20,26,269,642
20,27,302,609
20,28,315,596
20,29,321,590
21,0,815,96
21,1,797,114
21,2,875,36
21,3,836,75
21,4,856,55
21,5,866,45
21,6,863,48
21,7,874,37
21,8,835,76
21,9,844,67
21,10,838,73
21,11,846,65
21,12,800,111
21,13,846,65
21,14,834,77
21,15,483,428
21,16,200,711
21,17,211,700
21,18,239,672
21,19,297,614
21,20,387,524
21,21,276,635
21,22,287,624
21,23,0,911
21,24,477,434
21,25,480,431
21,26,269,642
21,27,302,609
21,28,315,596
21,29,321,590
22,0,815,96
22,1,797,114
22,2,875,36
22,3,836,75
22,4,856,55
22,5,866,45
22,6,863,48
22,7,874,37
22,8,835,76
22,9,844,67
22,10,838,73
22,11,846,65
22,12,800,111
22,13,846,65
22,14,834,77
22,15,483,428
22,16,200,711
22,17,211,700
22,18,239,672
22,19,297,614
22,20,387,524
22,21,276,635
22,22,287,624
22,23,0,911
22,24,477,434
22,25,480,431
22,26,269,642
22,27,302,609
22,28,315,596
22,29,321,590
23,0,815,96
23,1,797,114
23,2,875,36
23,3,836,75
23,4,856,55
23,5,866,45
23,6,863,48
23,7,874,37
23,8,835,76
23,9,844,67
23,10,838,73
23,11,846,65
23,12,800,111
23,13,846,65
23,14,834,77
23,15,483,428
23,16,200,711
23,17,211,700
23,18,239,672
23,19,297,614
23,20,387,524
23,21,276,635
23,22,287,624
23,23,0,911
23,24,477,434
23,25,480,431
23,26,269,642
23,27,302,609
23,28,315,596
23,29,321,590
24,0,815,96
24,1,797,114
24,2,875,36
24,3,836,75
24,4,856,55
24,5,866,45
24,6,863,48
24,7,874,37
24,8,835,76
24,9,844,67
24,10,838,73
24,11,846,65
24,12,800,111
24,13,846,65
24,14,834,77
24,15,483,428
24,16,200,711
24,17,211,700
24,18,239,672
24,19,297,614
24,20,387,524
24,21,276,635
24,22,287,624
24,23,0,911
24,24,477,434
24,25,480,431
24,26,269,642
24,27,302,609
24,28,315,596
24,29,321,590
25,0,815,96
25,1,797,114
25,2,875,36
25,3,836,75
25,4,856,55
25,5,866,45
25,6,863,48
25,7,874,37
25,8,835,76
25,9,844,67
25,10,838,73
25,11,846,65
25,12,800,111
25,13,846,65
25,14,834,77
25,15,483,428
25,16,200,711
25,17,211,700
25,18,239,672
25,19,297,614
25,20,387,524
25,21,276,635
25,22,287,624
25,23,0,911
25,24,477,434
25,25,480,431
25,26,269,642
25,27,302,609
25,28,315,596
25,29,321,590
26,0,815,96
26,1,797,114
26,2,875,36
26,3,836,75
26,4,856,55
26,5,866,45
26,6,863,48
26,7,874,37
26,8,835,76
26,9,844,67
26,10,838,73
26,11,846,65
26,12,800,111
26,13,846,65
26,14,834,77
26,15,483,428
26,16,200,711
26,17,211,700
26,18,239,672
26,19,297,614
26,20,387,524
26,21,276,635
26,22,287,624
26,23,0,911
26,24,477,434
26,25,480,431
26,26,269,642
26,27,302,609
26,28,315,596
26,29,321,590
27,0,815,96
27,1,797,114
27,2,875,36
27,3,836,75
27,4,856,55
27,5,866,45
27,6,863,48
27,7,874,37
27,8,835,76
27,9,844,67
27,10,838,73
27,11,846,65
27,12,800,111
27,13,846,65
27,14,834,77
27,15,483,428
27,16,200,711
27,17,211,700
27,18,239,672
27,19,297,614
27,20,387,524
27,21,276,635
27,22,287,624
27,23,0,911
27,24,477,434
27,25,480,431
27,26,269,642
27,27,302,609
27,28,315,596
27,29,321,590
28,0,815,96
28,1,797,114
28,2,875,36
28,3,836,75
28,4,856,55
28,5,866,45
28,6,863,48
28,7,874,37
28,8,835,76
28,9,844,67
28,10,838,73
28,11,846,65
28,12,800,111
28,13,846,65
28,14,834,77
28,15,483,428
28,16,200,711
28,17,211,700
28,18,239,672
28,19,297,614
28,20,387,524
28,21,276,635
28,22,287,624
28,23,0,911
28,24,477,434
28,25,480,431
28,26,269,642
28,27,302,609
28,28,315,596
28,29,321,590
29,0,815,96
29,1,797,114
29,2,875,36
29,3,836,75
29,4,856,55
29,5,866,45
29,6,863,48
29,7,874,37
29,8,835,76
29,9,844,67
29,10,838,73
29,11,846,65
29,12,800,111
29,13,846,65
29,14,834,77
29,15,483,428
29,16,200,711
29,17,211,700
29,18,239,672
29,19,297,614
29,20,387,524
29,21,276,635
29,22,287,624
29,23,0,911
29,24,477,434
29,25,480,431
29,26,269,642
29,27,302,609
29,28,315,596
29,29,321,590
30,0,815,96
30,1,797,114
30,2,875,36
30,3,836,75
30,4,856,55
30,5,866,45
30,6,863,48
30,7,874,37
30,8,835,76
30,9,844,67
30,10,838,73
30,11,846,65
30,12,800,111
30,13,846,65
30,14,834,77
30,15,483,428
30,16,200,711
30,17,211,700
30,18,239,672
30,19,297,614
30,20,387,524
30,21,276,635
30,22,287,624
30,23,0,911
30,24,477,434
30,25,480,431
30,26,269,642
30,27,302,609
30,28,315,596
30,29,321,590
31,0,815,96
31,1,797,114
31,2,875,36
31,3,836,75
31,4,856,55
31,5,866,45
31,6,863,48
31,7,874,37
31,8,835,76
31,9,844,67
31,10,838,73
31,11,846,65
31,12,800,111
31,13,846,65
31,14,834,77
31,15,483,428
31,16,200,711
31,17,211,700
31,18,239,672
31,19,297,614
31,20,387,524
31,21,276,635
31,22,287,624
31,23,0,911
31,24,477,434
31,25,480,431
31,26,269,642
31,27,302,609
31,28,315,596
31,29,321,590
32,0,815,96
32,1,797,114
32,2,875,36
32,3,836,75
32,4,856,55
32,5,866,45
32,6,863,48
32,7,874,37
32,8,835,76
32,9,844,67
32,10,838,73
32,11,846,65
32,12,800,111
32,13,846,65
32,14,834,77
32,15,483,428
32,16,200,711
32,17,211,700
32,18,239,672
32,19,297,614
32,20,387,524
32,21,276,635
32,22,287,624
32,23,0,911
32,24,477,434
32,25,480,431
32,26,269,642
32,27,302,609
32,28,315,596
32,29,321,590
33,0,815,96
33,1,797,114
33,2,875,36
33,3,836,75
33,4,856,55
33,5,866,45
33,6,863,48
33,7,874,37
33,8,835,76
33,9,844,67
33,10,838,73
33,11,846,65
33,12,800,111
33,13,846,65
33,14,834,77
33,15,483,428
33,16,200,711
33,17,211,700
33,18,239,672
33,19,297,614
33,20,387,524
33,21,276,635
33,22,287,624
33,23,0,911
33,24,477,434
33,25,480,431
33,26,269,642
33,27,302,609
33,28,315,596
33,29,321,590
34,0,815,96
34,1,797,114
34,2,875,36
34,3,836,75
34,4,856,55
34,5,866,45
34,6,863,48
34,7,874,37
34,8,835,76
34,9,844,67
34,10,838,73
34,11,846,65
34,12,800,111
34,13,846,65
34,14,834,77
34,15,483,428
34,16,200,711
34,17,211,700
34,18,239,672
34,19,297,614
34,20,387,524
34,21,276,635
34,22,287,624
34,23,0,911
34,24,477,434
34,25,480,431
34,26,269,642
34,27,302,609
34,28,315,596
34,29,321,590
35,0,815,96
35,1,797,114
35,2,875,36
35,3,836,75
35,4,856,55
35,5,866,45
35,6,863,48
35,7,874,37
35,8,835,76
35,9,844,67
35,10,838,73
35,11,846,65
35,12,800,111
35,13,846,65
35,14,834,77
35,15,483,428
35,16,200,711
35,17,211,700
35,18,239,672
35,19,297,614
35,20,387,524
35,21,276,635
35,22,287,624
35,23,0,911
35,24,477,434
35,25,480,431
35,26,269,642
35,27,302,609
35,28,315,596
35,29,321,590
36,0,815,96
36,1,797,114
36,2,875,36
36,3,836,75
36,4,856,55
36,5,866,45
36,6,863,48
36,7,874,37
36,8,835,76
36,9,844,67
36,10,838,73
36,11,846,65
36,12,800,111
36,13,846,65
36,14,834,77
36,15,483,428
36,16,200,711
36,17,211,700
36,18,239,672
36,19,297,614
36,20,387,524
36,21,276,635
36,22,287,624
36,23,0,911
36,24,477,434
36,25,480,431
36,26,269,642
36,27,302,609
36,28,315,596
36,29,321,590
37,0,815,96
37,1,797,114
37,2,875,36
37,3,836,75
37,4,856,55
37,5,866,45
37,6,863,48
37,7,874,37
37,8,835,76
37,9,844,67
37,10,838,73
37,11,846,65
37,12,800,111
37,13,846,65
37,14,834,77
37,15,483,428
37,16,200,711
37,17,211,700
37,18,239,672
37,19,297,614
37,20,387,524
37,21,276,635
37,22,287,624
37,23,0,911
37,24,477,434
37,25,480,431
37,26,269,642
37,27,302,609
37,28,315,596
37,29,321,590
38,0,815,96
38,1,797,114
38,2,875,36
38,3,836,75
38,4,856,55
38,5,866,45
38,6,863,48
38,7,874,37
38,8,835,76
38,9,844,67
38,10,838,73
38,11,846,65
38,12,800,111
38,13,846,65
38,14,834,77
38,15,483,428
38,16,200,711
38,17,211,700
38,18,239,672
38,19,297,614
38,20,387,524
38,21,276,635
38,22,287,624
38,23,0,911
38,24,477,434
38,25,480,431
38,26,269,642
38,27,302,609
38,28,315,596
38,29,321,590
39,0,815,96
39,1,797,114
39,2,875,36
39,3,836,75
39,4,856,55
39,5,866,45
39,6,863,48
39,7,874,37
39,8,835,76
39,9,844,67
39,10,838,73
39,11,846,65
39,12,800,111
39,13,846,65
39,14,834,77
39,15,483,428
39,16,200,711
39,17,211,700
39,18,239,672
39,19,297,614
39,20,387,524
39,21,276,635
39,22,287,624
39,23,0,911
39,24,477,434
39,25,480,431
39,26,269,642
39,27,302,609
39,28,315,596
39,29,321,590
40,0,815,96
40,1,797,114
40,2,875,36
40,3,836,75
40,4,856,55
40,5,866,45
40,6,863,48
40,7,874,37
40,8,835,76
40,9,844,67
40,10,838,73
40,11,846,65
40,12,800,111
40,13,846,65
40,14,834,77
40,15,483,428
40,16,200,711
40,17,211,700
40,18,239,672
40,19,297,614
40,20,387,524
40,21,276,635
40,22,287,624
40,23,0,911
40,24,477,434
40,25,480,431
40,26,269,642
40,27,302,609
40,28,315,596
40,29,321,590
41,0,815,96
41,1,797,114
41,2,875,36
41,3,836,75
41,4,856,55
41,5,866,45
41,6,863,48
41,7,874,37
41,8,835,76
41,9,844,67
41,10,838,73
41,11,846,65
41,12,800,111
41,13,846,65
41,14,834,77
41,15,483,428
41,16,200,711
41,17,211,700
41,18,239,672
