round,src,dst,bytes,delay_ticks,src_mj,dst_mj,failed
7,4,5,246824,51,24441.666124,36662.499457,0
7,5,4,246824,51,36662.499457,24441.666124,0
8,0,1,246824,8,24441.666124,24441.666124,0
8,1,0,246824,8,24441.666124,24441.666124,0
8,0,2,246824,11,24441.666124,36662.499457,0
8,2,0,246824,11,36662.499457,24441.666124,0
8,0,3,246824,25,24441.666124,24441.666124,0
8,3,0,246824,25,24441.666124,24441.666124,0
8,1,2,246824,12,24441.666124,36662.499457,0
8,2,1,246824,12,36662.499457,24441.666124,0
8,1,4,246824,41,24441.666124,24441.666124,0
8,4,1,246824,41,24441.666124,24441.666124,0
8,3,4,246824,47,24441.666124,24441.666124,0
8,4,3,246824,47,24441.666124,24441.666124,0
8,3,5,246824,36,24441.666124,36662.499457,0
8,5,3,246824,36,36662.499457,24441.666124,0
8,4,5,246824,51,24441.666124,36662.499457,0
8,5,4,246824,51,36662.499457,24441.666124,0
9,0,1,246824,8,24441.666124,24441.666124,0
9,1,0,246824,8,24441.666124,24441.666124,0
9,0,2,246824,11,24441.666124,36662.499457,0
9,2,0,246824,11,36662.499457,24441.666124,0
9,0,3,246824,25,24441.666124,36662.499457,0
9,3,0,246824,25,36662.499457,24441.666124,0
9,1,2,246824,12,24441.666124,36662.499457,0
9,2,1,246824,12,36662.499457,24441.666124,0
9,1,4,246824,41,24441.666124,36662.499457,0
9,4,1,246824,41,36662.499457,24441.666124,0
9,3,5,246824,36,36662.499457,36662.499457,0
9,5,3,246824,36,36662.499457,36662.499457,0
9,4,5,246824,51,36662.499457,36662.499457,0
9,5,4,246824,51,36662.499457,36662.499457,0
10,0,1,246824,8,24441.666124,24441.666124,0
10,1,0,246824,8,24441.666124,24441.666124,0
10,0,2,246824,11,24441.666124,36662.499457,0
10,2,0,246824,11,36662.499457,24441.666124,0
10,0,3,246824,25,24441.666124,24441.666124,0
10,3,0,246824,25,24441.666124,24441.666124,0
10,1,2,246824,12,24441.666124,36662.499457,0
10,2,1,246824,12,36662.499457,24441.666124,0
10,1,4,246824,41,24441.666124,24441.666124,0
10,4,1,246824,41,24441.666124,24441.666124,0
10,3,4,246824,47,24441.666124,24441.666124,0
10,4,3,246824,47,24441.666124,24441.666124,0
10,3,5,246824,36,24441.666124,36662.499457,0
10,5,3,246824,36,36662.499457,24441.666124,0
10,4,5,246824,51,24441.666124,36662.499457,0
10,5,4,246824,51,36662.499457,24441.666124,0
11,0,1,246824,8,24441.666124,24441.666124,0
11,1,0,246824,8,24441.666124,24441.666124,0
11,0,2,246824,11,24441.666124,36662.499457,0
11,2,0,246824,11,36662.499457,24441.666124,0
11,0,3,246824,25,24441.666124,24441.666124,0
11,3,0,246824,25,24441.666124,24441.666124,0
11,1,2,246824,12,24441.666124,36662.499457,0
11,2,1,246824,12,36662.499457,24441.666124,0
11,1,4,246824,41,24441.666124,24441.666124,0
11,4,1,246824,41,24441.666124,24441.666124,0
11,3,4,246824,47,24441.666124,24441.666124,0
11,4,3,246824,47,24441.666124,24441.666124,0
11,3,5,246824,36,24441.666124,36662.499457,0
11,5,3,246824,36,36662.499457,24441.666124,0
11,4,5,246824,51,24441.666124,36662.499457,0
11,5,4,246824,51,36662.499457,24441.666124,0
12,0,1,246824,8,24441.666124,24441.666124,0
12,1,0,246824,8,24441.666124,24441.666124,0
12,0,2,246824,11,24441.666124,36662.499457,0
12,2,0,246824,11,36662.499457,24441.666124,0
12,0,3,246824,25,24441.666124,24441.666124,0
12,3,0,246824,25,24441.666124,24441.666124,0
12,1,2,246824,12,24441.666124,36662.499457,0
12,2,1,246824,12,36662.499457,24441.666124,0
12,1,4,246824,41,24441.666124,24441.666124,0
12,4,1,246824,41,24441.666124,24441.666124,0
12,3,4,246824,47,24441.666124,24441.666124,0
12,4,3,246824,47,24441.666124,24441.666124,0
12,3,5,246824,36,24441.666124,36662.499457,0
12,5,3,246824,36,36662.499457,24441.666124,0
12,4,5,246824,51,24441.666124,36662.499457,0
12,5,4,246824,51,36662.499457,24441.666124,0
13,0,1,246824,8,24441.666320,24441.666320,0
13,1,0,246824,8,24441.666320,24441.666320,0
13,0,2,246824,11,24441.666320,36662.499654,0
13,2,0,246824,11,36662.499654,24441.666320,0
13,0,3,246824,25,24441.666320,24441.666320,0
13,3,0,246824,25,24441.666320,24441.666320,0
13,1,2,246824,12,24441.666320,36662.499654,0
13,2,1,246824,12,36662.499654,24441.666320,0
13,1,4,246824,41,24441.666320,24441.666320,0
13,4,1,246824,41,24441.666320,24441.666320,0
13,3,4,246824,47,24441.666320,24441.666320,0
13,4,3,246824,47,24441.666320,24441.666320,0
13,3,5,246824,36,24441.666320,36662.499654,0
13,5,3,246824,36,36662.499654,24441.666320,0
13,4,5,246824,51,24441.666320,36662.499654,0
13,5,4,246824,51,36662.499654,24441.666320,0
14,0,1,246824,8,24441.666124,24441.666124,0
14,1,0,246824,8,24441.666124,24441.666124,0
14,0,2,246824,11,24441.666124,36662.499457,0
14,2,0,246824,11,36662.499457,24441.666124,0
14,0,3,246824,25,24441.666124,24441.666124,0
14,3,0,246824,25,24441.666124,24441.666124,0
14,1,2,246824,12,24441.666124,36662.499457,0
14,2,1,246824,12,36662.499457,24441.666124,0
14,1,4,246824,41,24441.666124,24441.666124,0
14,4,1,246824,41,24441.666124,24441.666124,0
14,3,4,246824,47,24441.666124,24441.666124,0
14,4,3,246824,47,24441.666124,24441.666124,0
14,3,5,246824,36,24441.666124,36662.499457,0
14,5,3,246824,36,36662.499457,24441.666124,0
14,4,5,246824,51,24441.666124,36662.499457,0
14,5,4,246824,51,36662.499457,24441.666124,0
15,0,1,246824,8,24441.666124,24441.666124,0
15,1,0,246824,8,24441.666124,24441.666124,0
15,0,2,246824,11,24441.666124,36662.499457,0
15,2,0,246824,11,36662.499457,24441.666124,0
15,0,3,246824,25,24441.666124,24441.666124,0
15,3,0,246824,25,24441.666124,24441.666124,0
15,1,2,246824,12,24441.666124,36662.499457,0
15,2,1,246824,12,36662.499457,24441.666124,0
15,1,4,246824,41,24441.666124,24441.666124,0
15,4,1,246824,41,24441.666124,24441.666124,0
15,3,4,246824,47,24441.666124,24441.666124,0
15,4,3,246824,47,24441.666124,24441.666124,0
15,3,5,246824,36,24441.666124,36662.499457,0
15,5,3,246824,36,36662.499457,24441.666124,0
15,4,5,246824,51,24441.666124,36662.499457,0
15,5,4,246824,51,36662.499457,24441.666124,0
16,0,1,246824,8,24441.666124,24441.666124,0
16,1,0,246824,8,24441.666124,24441.666124,0
16,0,2,246824,11,24441.666124,36662.499457,0
16,2,0,246824,11,36662.499457,24441.666124,0
16,0,3,246824,25,24441.666124,24441.666124,0
16,3,0,246824,25,24441.666124,24441.666124,0
16,1,2,246824,12,24441.666124,36662.499457,0
16,2,1,246824,12,36662.499457,24441.666124,0
16,1,4,246824,41,24441.666124,24441.666124,0
16,4,1,246824,41,24441.666124,24441.666124,0
16,3,4,246824,47,24441.666124,24441.666124,0
16,4,3,246824,47,24441.666124,24441.666124,0
16,3,5,246824,36,24441.666124,36662.499457,0
16,5,3,246824,36,36662.499457,24441.666124,0
16,4,5,246824,51,24441.666124,36662.499457,0
16,5,4,246824,51,36662.499457,24441.666124,0
17,0,1,246824,8,24441.666124,24441.666124,0
17,1,0,246824,8,24441.666124,24441.666124,0
17,0,2,246824,11,24441.666124,36662.499457,0
17,2,0,246824,11,36662.499457,24441.666124,0
17,0,3,246824,25,24441.666124,36662.499457,0
17,3,0,246824,25,36662.499457,24441.666124,0
17,1,2,246824,12,24441.666124,36662.499457,0
17,2,1,246824,12,36662.499457,24441.666124,0
17,1,4,246824,41,24441.666124,36662.499457,0
17,4,1,246824,41,36662.499457,24441.666124,0
17,3,5,246824,36,36662.499457,36662.499457,0
17,5,3,246824,36,36662.499457,36662.499457,0
17,4,5,246824,51,36662.499457,36662.499457,0
17,5,4,246824,51,36662.499457,36662.499457,0
18,0,1,246824,8,24441.666124,24441.666124,0
18,1,0,246824,8,24441.666124,24441.666124,0
18,0,2,246824,11,24441.666124,36662.499457,0
18,2,0,246824,11,36662.499457,24441.666124,0
18,0,3,246824,25,24441.666124,36662.499457,0
18,3,0,246824,25,36662.499457,24441.666124,0
18,1,2,246824,12,24441.666124,36662.499457,0
18,2,1,246824,12,36662.499457,24441.666124,0
18,1,4,246824,41,24441.666124,36662.499457,0
18,4,1,246824,41,36662.499457,24441.666124,0
18,3,5,246824,36,36662.499457,36662.499457,0
18,5,3,246824,36,36662.499457,36662.499457,0
18,4,5,246824,51,36662.499457,36662.499457,0
18,5,4,246824,51,36662.499457,36662.499457,0
19,0,1,246824,8,24441.666124,24441.666124,0
19,1,0,246824,8,24441.666124,24441.666124,0
19,0,2,246824,11,24441.666124,36662.499457,0
19,2,0,246824,11,36662.499457,24441.666124,0
19,0,3,246824,25,24441.666124,24441.666124,0
19,3,0,246824,25,24441.666124,24441.666124,0
19,1,2,246824,12,24441.666124,36662.499457,0
19,2,1,246824,12,36662.499457,24441.666124,0
19,1,4,246824,41,24441.666124,24441.666124,0
19,4,1,246824,41,24441.666124,24441.666124,0
19,3,4,246824,47,24441.666124,24441.666124,0
19,4,3,246824,47,24441.666124,24441.666124,0
19,3,5,246824,36,24441.666124,36662.499457,0
19,5,3,246824,36,36662.499457,24441.666124,0
19,4,5,246824,51,24441.666124,36662.499457,0
19,5,4,246824,51,36662.499457,24441.666124,0
